French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
côté,side
pouvoir,power
vieux,old
suite,after
pardon,sorry
venez,come
demandé,request
chambre,bedroom
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
terre,Earth
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
